recording_id,frame_idx,boll_id,distance_m,depth_valid_px,mask_pix,H_aa_cm,W_aa_cm,H_rot_cm,W_rot_cm,area_cm2,ok_mask_size,ok_distance,ok_depth_coverage
handheld_2,0,10,-1.0,0,10617,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,0,21,-1.0,0,9969,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,0,27,-1.0,0,9987,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,0,32,-1.0,0,4593,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,0,37,-1.0,0,8487,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,0,8,-1.0,0,11577,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,0,9,-1.0,0,64034,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,1,10,-1.0,0,8594,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,1,13,-1.0,0,5178,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,1,21,-1.0,0,8924,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,1,27,-1.0,0,8783,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,1,35,-1.0,0,10250,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,1,37,-1.0,0,8805,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,1,8,-1.0,0,9097,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,1,9,-1.0,0,66667,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,2,10,1.39,8827,8827,17.26,22.869,21.455,16.942,202.405,1,1,1
handheld_2,2,11,1.39,2791,2791,9.539,10.45,9.007,9.007,63.998,1,1,1
handheld_2,2,21,1.39,8650,8650,17.26,22.112,20.769,16.852,198.347,1,1,1
handheld_2,2,27,1.39,8788,8788,17.563,22.717,20.965,17.309,201.511,1,1,1
handheld_2,2,29,1.39,2894,2894,12.718,9.39,8.697,8.688,66.36,1,1,1
handheld_2,2,35,-1.0,0,10791,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0
handheld_2,2,37,1.39,8747,8747,17.26,22.717,21.305,16.942,200.571,1,1,1
handheld_2,2,8,1.39,9016,9016,17.412,23.172,21.794,17.113,206.739,1,1,1
handheld_2,2,9,1.39,83551,83551,50.115,55.279,54.783,49.491,1915.845,1,1,1
handheld_2,3,10,1.136,9499,9499,12.993,19.68,20.172,12.17,145.484,1,1,1
handheld_2,3,11,2.081,2940,2940,17.907,17.005,15.959,12.476,151.102,1,1,1
handheld_2,3,21,1.136,9472,9472,13.116,19.804,20.203,12.398,145.07,1,1,1
handheld_2,3,27,1.136,9436,9436,13.116,20.051,20.253,12.503,144.519,1,1,1
handheld_2,3,29,2.081,3487,3487,19.04,17.459,16.461,12.789,179.215,1,1,1
handheld_2,3,35,0.295,9790,10661,2.828,6.268,5.399,2.796,11.011,1,1,1
handheld_2,3,37,1.136,9471,9471,13.859,19.804,20.431,12.212,145.055,1,1,1
handheld_2,3,8,1.136,9677,9677,13.735,19.928,20.318,12.646,148.21,1,1,1
handheld_2,3,9,5.475,89285,89285,206.938,228.473,227.144,204.185,31763.326,1,0,1
handheld_2,4,10,0.293,9132,9132,8.011,7.821,4.832,3.474,9.304,1,1,1
handheld_2,4,11,1.106,2580,2580,27.467,8.435,7.819,6.385,37.455,1,1,1
handheld_2,4,21,0.293,8963,8963,3.543,4.916,4.788,3.511,9.132,1,1,1
handheld_2,4,27,0.293,9010,9010,3.511,4.852,4.78,3.468,9.18,1,1,1
handheld_2,4,29,1.106,3033,3033,10.24,8.194,7.689,6.516,44.031,1,1,1
handheld_2,4,35,0.284,11045,12167,3.124,6.158,5.198,3.094,11.647,1,1,1
handheld_2,4,37,0.293,8403,8403,3.351,4.789,4.896,3.156,8.561,1,1,1
handheld_2,4,8,0.293,9447,9447,3.574,8.013,4.971,3.518,9.625,1,1,1
handheld_2,4,9,1.106,88505,88505,42.767,45.19,44.601,41.659,1284.864,1,1,1
handheld_2,5,10,1.207,11020,11020,16.96,23.277,24.966,13.49,190.535,1,1,1
handheld_2,5,21,1.207,10918,10918,16.828,23.54,25.18,13.308,188.772,1,1,1
handheld_2,5,27,1.207,10561,10561,16.303,23.014,25.061,13.249,182.599,1,1,1
handheld_2,5,37,1.207,9858,9858,16.828,22.883,24.858,13.211,170.444,1,1,1
handheld_2,5,8,1.207,11300,11300,16.96,23.54,25.193,13.449,195.376,1,1,1
handheld_2,5,9,1.207,96924,96924,47.33,49.974,49.44,47.546,1675.811,1,1,1
handheld_2,6,10,0.903,3814,3814,6.983,10.232,9.045,6.943,36.909,1,1,1
handheld_2,6,13,0.903,3842,3842,20.065,21.252,9.445,6.857,37.18,1,1,1
handheld_2,6,21,0.979,3246,3246,23.78,19.947,8.928,5.613,36.923,1,1,1
handheld_2,6,24,0.611,5332,5724,10.782,24.166,6.896,4.619,25.361,1,1,1
handheld_2,6,27,0.903,3783,3783,20.164,16.332,9.509,6.954,36.609,1,1,1
handheld_2,6,35,0.291,4598,4623,1.838,4.185,3.075,1.807,4.646,1,1,1
handheld_2,6,37,0.903,3852,3852,7.77,13.381,9.383,7.046,37.277,1,1,1
handheld_2,6,8,0.903,4072,4072,20.065,21.252,9.091,7.238,39.406,1,1,1
handheld_2,6,9,0.979,97717,97717,37.856,76.908,48.943,35.976,1111.513,1,1,1
handheld_2,7,10,1.18,1087,1087,7.84,9.128,8.716,3.352,17.963,1,1,1
handheld_2,7,17,1.18,3317,3317,8.997,22.628,9.131,6.58,54.814,1,1,1
handheld_2,7,29,1.18,1621,1621,13.624,4.114,12.219,3.402,26.787,1,1,1
handheld_2,7,35,0.264,14140,14159,3.968,4.257,4.026,3.94,11.712,1,1,1
handheld_2,7,8,1.18,3810,3810,43.701,35.099,13.76,5.829,62.961,1,1,1
handheld_2,7,9,1.18,90378,90955,33.161,100.026,62.241,31.777,1503.038,1,1,1
handheld_2,8,10,0.948,8063,8063,12.495,9.296,11.618,9.309,85.999,1,1,1
handheld_2,8,11,0.948,7823,7823,12.391,9.296,11.459,9.073,83.439,1,1,1
handheld_2,8,17,0.948,2368,2368,6.299,8.367,8.805,2.263,25.257,1,1,1
handheld_2,8,21,0.948,8458,8458,12.598,10.639,11.767,9.727,90.212,1,1,1
handheld_2,8,29,0.948,7807,7807,12.495,9.193,11.785,8.85,83.268,1,1,1
handheld_2,8,35,3.565,10944,10944,49.316,53.603,51.366,48.983,1650.724,1,0,1
handheld_2,8,8,0.948,7771,7771,12.391,9.193,11.57,9.206,82.884,1,1,1
handheld_2,8,9,0.948,195254,195419,60.924,51.439,60.829,51.328,2084.312,1,1,1
handheld_2,9,10,0.87,3914,3914,9.287,9.005,11.869,5.062,35.159,1,1,1
handheld_2,9,17,0.342,3570,3588,2.198,3.652,3.879,1.788,4.981,1,1,1
handheld_2,9,21,0.87,3865,3865,9.382,9.195,11.618,5.111,34.719,1,1,1
